npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/4/2026 4:04:38 PM ::1 GET /
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 320 ms
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2
 HTTP  3/4/2026 4:04:38 PM ::1 GET /images/me.jpg
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 4 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 4 ms
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/beac16cc2fb0d6f2.css
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 2 ms
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/ca1cbed29d4615d4.js
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/aee6c7720838f8a2.js
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/b6ee2f777e50e7bc.js
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/turbopack-67901d42c8ee9ff9.js
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/d77f4e246d444073.js
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/d2be314c3ece3fbe.js
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 7 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 7 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 6 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 8 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 12 ms
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 13 ms
 HTTP  3/4/2026 4:04:38 PM ::1 GET /_next/static/chunks/8cdb06933ba3ae08.js
 HTTP  3/4/2026 4:04:38 PM ::1 Returned 200 in 6 ms
 HTTP  3/4/2026 4:04:39 PM ::1 HEAD /cv
 HTTP  3/4/2026 4:04:39 PM ::1 HEAD /projects
 HTTP  3/4/2026 4:04:39 PM ::1 HEAD /about
 HTTP  3/4/2026 4:04:39 PM ::1 HEAD /
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 304 in 5 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 9 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 8 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 9 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /cv/__next._tree.txt?_rsc=1r34m
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 2 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /projects/__next._tree.txt?_rsc=1r34m
 HTTP  3/4/2026 4:04:39 PM ::1 GET /about/__next._tree.txt?_rsc=1r34m
 HTTP  3/4/2026 4:04:39 PM ::1 GET /__next._tree.txt?_rsc=1r34m
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 2 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 2 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /cv/__next._head.txt?_rsc=1pn8p
 HTTP  3/4/2026 4:04:39 PM ::1 GET /cv/__next._index.txt?_rsc=nn07o
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 2 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /cv/__next.cv.txt?_rsc=1t2xo
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 1 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /cv/__next.cv.__PAGE__.txt?_rsc=7mq3u
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 1 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /projects/__next._head.txt?_rsc=1pn8p
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 0 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /projects/__next.projects.txt?_rsc=wxxc5
 HTTP  3/4/2026 4:04:39 PM ::1 GET /projects/__next.projects.__PAGE__.txt?_rsc=13bkz
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /about/__next._head.txt?_rsc=1pn8p
 HTTP  3/4/2026 4:04:39 PM ::1 GET /about/__next.about.txt?_rsc=uudir
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 4 ms
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 4 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /about/__next.about.__PAGE__.txt?_rsc=1pr6k
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 3 ms
 HTTP  3/4/2026 4:04:39 PM ::1 GET /__next._head.txt?_rsc=1pn8p
 HTTP  3/4/2026 4:04:39 PM ::1 Returned 200 in 1 ms
